a+,"[0.0, 0.0]"
cherished,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cherub,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chic,"[0.0, 0.0, 0.0, 0.0]"
chivalrous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chivalry,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
civility,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
civilize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clarity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
classic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
classy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clean,"[0.0, 0.0, 0.0, 0.0, 0.0]"
cleaner,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cleanest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cleanliness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cleanly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clear,"[0.0, 0.0, 0.0, 0.0, 0.0]"
clear-cut,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cleared,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clearer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clearly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clears,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
clever,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cleverly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cohere,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coherence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coherent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cohesive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
colorful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comfort,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comfortable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comfortably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comforting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comfy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
commend,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
commendable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
commendably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
commitment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
commodious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compact,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compactly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compassion,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compassionate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compatible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
competitive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
complement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
complementary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
complemented,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
complements,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compliant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compliment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
complimentary,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
comprehensive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
conciliate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
conciliatory,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
concise,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
confidence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
confident,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
congenial,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
congratulate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
congratulation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
congratulations,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
congratulatory,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
conscientious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
considerate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
consistent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
consistently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
constructive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
consummate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
contentment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
continuity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
contrasty,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
contribution,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convenience,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convenient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
conveniently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convience,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convienient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convincing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
convincingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cool,"[0.0, 0.0, 0.0, 0.0]"
coolest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cooperative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cooperatively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cornerstone,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
correct,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
correctly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cost-effective,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cost-saving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
counter-attack,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
counter-attacks,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courageous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courageously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courageousness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courteous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
courtly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
covenant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cozy,"[0.0, 0.0, 0.0, 0.0]"
creative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
credence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
credible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
crisp,"[0.0, 0.0, 0.0, 0.0, 0.0]"
crisper,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cure,"[0.0, 0.0, 0.0, 0.0]"
cure-all,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cushy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
cute,"[0.0, 0.0, 0.0, 0.0]"
cuteness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
danke,"[0.0, 0.0, 0.0, 0.0, 0.0]"
danken,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
daring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
daringly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
darling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dashing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dauntless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dawn,"[0.0, 0.0, 0.0, 0.0]"
dazzle,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dazzled,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dazzling,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dead-cheap,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dead-on,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
decency,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
decent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
decisive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
decisiveness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dedicated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
defeat,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
defeated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
defeating,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
defeats,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
defender,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
deference,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
deft,"[0.0, 0.0, 0.0, 0.0]"
deginified,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delectable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delicacy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delicate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delicious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delight,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delighted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delightful,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delightfully,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
delightfulness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dependable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dependably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
deservedly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
deserving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
desirable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
desiring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
desirous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
destiny,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
detachable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
devout,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dexterous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dexterously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dextrous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dignified,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dignify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dignity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
diligence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
diligent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
diligently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
diplomatic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dirt-cheap,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
distinction,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
distinctive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
distinguished,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
diversified,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
divine,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
divinely,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dominate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dominated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dominates,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dote,"[0.0, 0.0, 0.0, 0.0]"
dotingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
doubtless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dreamland,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dumbfounded,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dumbfounding,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dummy-proof,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
durable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
dynamic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eager,"[0.0, 0.0, 0.0, 0.0, 0.0]"
eagerly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eagerness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
earnest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
earnestly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
earnestness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ease,"[0.0, 0.0, 0.0, 0.0]"
eased,"[0.0, 0.0, 0.0, 0.0, 0.0]"
eases,"[0.0, 0.0, 0.0, 0.0, 0.0]"
easier,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
easiest,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
easiness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
easing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
easy,"[0.0, 0.0, 0.0, 0.0]"
easy-to-use,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
easygoing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ebullience,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ebullient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ebulliently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ecenomical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
economical,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ecstasies,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ecstasy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ecstatic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ecstatically,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
edify,"[0.0, 0.0, 0.0, 0.0, 0.0]"
educated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effective,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effectively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effectiveness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effectual,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
efficacious,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
efficient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
efficiently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effortless,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effortlessly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effusion,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effusive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effusively,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effusiveness,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elan,"[0.0, 0.0, 0.0, 0.0]"
elate,"[0.0, 0.0, 0.0, 0.0, 0.0]"
elated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elatedly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
electrify,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elegance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elegant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elegantly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elevate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
elite,"[0.0, 0.0, 0.0, 0.0, 0.0]"
eloquence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eloquent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eloquently,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
embolden,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eminence,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
eminent,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
empathize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
empathy,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
empower,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
empowerment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enchant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enchanted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enchanting,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enchantingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
encourage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
encouragement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
encouraging,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
encouragingly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endear,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endearing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endorse,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endorsed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endorsement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endorses,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
endorsing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
energetic,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
energize,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
energy-efficient,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
energy-saving,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
engaging,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
engrossing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enhance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enhanced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enhancement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enhances,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
enjoy,"[0.0, 0.0, 0.0, 0.0, 0.0]"
